year,source_ISO,target_ISO,category,value,data,start,end
2010,USA,KAZ,C1,1,fintech_talent,"[-97.0, 38.0]","[68.0, 48.0]"
2010,SVK,DEU,C1,2,fintech_talent,"[19.5, 48.6667]","[9.0, 51.0]"
2010,CAN,ROU,C1,1,fintech_talent,"[-95.0, 60.0]","[25.0, 46.0]"
2010,GBR,PRT,C1,2,fintech_talent,"[-2.0, 54.0]","[-8.0, 39.5]"
2010,CHE,DNK,C1,1,fintech_talent,"[8.0, 47.0]","[10.0, 56.0]"
2010,JAM,USA,C1,1,fintech_talent,"[-77.5, 18.25]","[-97.0, 38.0]"
2010,PER,USA,C1,1,fintech_talent,"[-76.0, -10.0]","[-97.0, 38.0]"
2010,IND,TWN,C1,2,fintech_talent,"[77.0, 20.0]","[121.0, 23.5]"
2010,SWE,KOR,C1,1,fintech_talent,"[15.0, 62.0]","[127.5, 37.0]"
2010,FIN,MAR,C2,1,fintech_talent,"[26.0, 64.0]","[-5.0, 32.0]"
2010,DEU,SGP,C2,4,fintech_talent,"[9.0, 51.0]","[103.8, 1.3667]"
2010,NLD,AUS,C2,1,fintech_talent,"[5.75, 52.5]","[133.0, -27.0]"
2010,NLD,SWE,C2,2,fintech_talent,"[5.75, 52.5]","[15.0, 62.0]"
2010,MYS,GBR,C2,4,fintech_talent,"[112.5, 2.5]","[-2.0, 54.0]"
2010,MNE,CHN,C3,6,fintech_talent,"[19.0, 42.0]","[105.0, 35.0]"
2010,PAK,IND,C3,2,fintech_talent,"[70.0, 30.0]","[77.0, 20.0]"
2010,SGP,AUT,C3,2,fintech_talent,"[103.8, 1.3667]","[13.3333, 47.3333]"
2010,BEL,CAN,C3,4,fintech_talent,"[4.0, 50.8333]","[-95.0, 60.0]"
2010,HKG,JPN,C3,3,fintech_talent,"[114.1667, 22.25]","[138.0, 36.0]"
2010,NLD,LUX,C3,1,fintech_talent,"[5.75, 52.5]","[6.1667, 49.75]"
2010,NLD,TWN,C3,2,fintech_talent,"[5.75, 52.5]","[121.0, 23.5]"
2010,CAN,ZAF,C3,2,fintech_talent,"[-95.0, 60.0]","[24.0, -29.0]"
2010,ZAF,BEL,C3,1,fintech_talent,"[24.0, -29.0]","[4.0, 50.8333]"
2010,DEU,ETH,C3,1,fintech_talent,"[9.0, 51.0]","[38.0, 8.0]"
2010,SGP,HKG,C3,1,fintech_talent,"[103.8, 1.3667]","[114.1667, 22.25]"
2010,NZL,TWN,C3,3,fintech_talent,"[174.0, -41.0]","[121.0, 23.5]"
2010,USA,TUR,C3,4,fintech_talent,"[-97.0, 38.0]","[35.0, 39.0]"
2010,DEU,CHN,C3,11,fintech_talent,"[9.0, 51.0]","[105.0, 35.0]"
2010,GBR,GRC,C3,13,fintech_talent,"[-2.0, 54.0]","[22.0, 39.0]"
2010,IRL,JPN,C3,1,fintech_talent,"[-8.0, 53.0]","[138.0, 36.0]"
2010,ARE,ISR,C3,2,fintech_talent,"[54.0, 24.0]","[34.75, 31.5]"
2010,USA,CHN,C3,167,fintech_talent,"[-97.0, 38.0]","[105.0, 35.0]"
2010,MYS,LVA,all,1,fintech_talent,"[112.5, 2.5]","[25.0, 57.0]"
2010,GBR,MEX,all,4,fintech_talent,"[-2.0, 54.0]","[-102.0, 23.0]"
2010,CHE,ESP,all,2,fintech_talent,"[8.0, 47.0]","[-4.0, 40.0]"
2010,PRT,JPN,all,2,fintech_talent,"[-8.0, 39.5]","[138.0, 36.0]"
2010,JPN,NZL,all,6,fintech_talent,"[138.0, 36.0]","[174.0, -41.0]"
2010,MYS,HKG,all,2,fintech_talent,"[112.5, 2.5]","[114.1667, 22.25]"
2010,ZAF,NLD,all,1,fintech_talent,"[24.0, -29.0]","[5.75, 52.5]"
2010,KEN,DEU,all,1,fintech_talent,"[38.0, 1.0]","[9.0, 51.0]"
2010,FRA,DEU,all,9,fintech_talent,"[2.0, 46.0]","[9.0, 51.0]"
2010,SVN,ESP,all,1,fintech_talent,"[15.0, 46.0]","[-4.0, 40.0]"
2010,MYS,BIH,all,1,fintech_talent,"[112.5, 2.5]","[18.0, 44.0]"
2010,AUS,CHN,all,40,fintech_talent,"[133.0, -27.0]","[105.0, 35.0]"
2010,AUS,GBR,all,66,fintech_talent,"[133.0, -27.0]","[-2.0, 54.0]"
2010,ARG,IRL,all,1,fintech_talent,"[-64.0, -34.0]","[-8.0, 53.0]"
2011,USA,GRC,C1,1,fintech_talent,"[-97.0, 38.0]","[22.0, 39.0]"
2011,BHR,SAU,C1,1,fintech_talent,"[50.55, 26.0]","[45.0, 25.0]"
2011,KOR,BRA,C1,1,fintech_talent,"[127.5, 37.0]","[-55.0, -10.0]"
2011,MLT,GBR,C1,1,fintech_talent,"[14.5833, 35.8333]","[-2.0, 54.0]"
2011,MEX,IRL,C1,1,fintech_talent,"[-102.0, 23.0]","[-8.0, 53.0]"
2011,HUN,ISR,C2,1,fintech_talent,"[20.0, 47.0]","[34.75, 31.5]"
2011,QAT,JPN,C2,1,fintech_talent,"[51.25, 25.5]","[138.0, 36.0]"
2011,LVA,MYS,C2,1,fintech_talent,"[25.0, 57.0]","[112.5, 2.5]"
2011,THA,LVA,C2,1,fintech_talent,"[100.0, 15.0]","[25.0, 57.0]"
